index,TYPE,YEAR,MONTH,HUNDRED_BLOCK,NEWADDRESS,lat,lon
1171,Commercial Break and Enter,2013,2,15XX COTTON DR,"1500 COTTON DR ,Vancouver, Canada",49.27137,-123.071546
1172,Commercial Break and Enter,2013,2,8XX BURRARD ST,"800 BURRARD ST ,Vancouver, Canada",49.283297,-123.12278
1173,Commercial Break and Enter,2013,2,6XX BURRARD ST,"600 BURRARD ST ,Vancouver, Canada",49.285316,-123.11973
1174,Commercial Break and Enter,2013,2,3XX WATER ST,"300 WATER ST ,Vancouver, Canada",49.284366,-123.108909
1175,Commercial Break and Enter,2013,2,1XX SE MARINE DR,"100 SE MARINE DR ,Vancouver, Canada",49.211678,-123.104258
1176,Commercial Break and Enter,2013,2,18XX W BROADWAY AVE,"1800 W BROADWAY AVE ,Vancouver, Canada",49.263717,-123.145945
1177,Commercial Break and Enter,2013,2,15XX WOODLAND DR,"1500 WOODLAND DR ,Vancouver, Canada",49.271246,-123.073442
1178,Commercial Break and Enter,2013,2,43XX MAIN ST,"4300 MAIN ST ,Vancouver, Canada",50.117022,-122.9577
1179,Commercial Break and Enter,2013,2,7XX E 39TH AVE,"700 E 39TH AVE ,Vancouver, Canada",49.234765,-123.090389
1180,Commercial Break and Enter,2013,2,16XX QUEBEC ST,"1600 QUEBEC ST ,Vancouver, Canada",49.271101,-123.102329
